taxon,taxon1,taxon2,genus,tribe,subfamily,family,order,class,agg.ssp,rand.type,poly.ins
Heliconia_hirsuta,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_densiflora,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_angusta,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_collinsiana,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_secunda,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_reticulata,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_mariae,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_longa,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_umbrophila,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_orthotricha,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_vaginalis,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_tortuosa,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_pogonantha,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_mathiasiae,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_imbricata,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_aurantiaca,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_chartacea,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_pendula,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_metallica,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_lingulata,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_wagneriana,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_griggsiana,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_papuana,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_acuminata,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_stricta,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_psittacorum,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_caribaea,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_bihai,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_nutans,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_clinophila,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_solomonensis,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_irrasa,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_rostrata,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_indica,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_paka,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_latispatha,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Sundamomum_pseudofoetens,,,Sundamomum,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Sundamomum_hastilabium,,,Sundamomum,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Sundamomum_dictyocoleum,,,Sundamomum,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Sundamomum_laxesquamosum,,,Sundamomum,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
