"taxon","genus","tribe","subfamily","family","order","class"
"Callicebus_hoffmannsi","Callicebus",,"Callicebinae","Pitheciidae","Primates","Mammalia"
"Callicebus_cupreus","Callicebus",,"Callicebinae","Pitheciidae","Primates","Mammalia"
"Callicebus_moloch","Callicebus",,"Callicebinae","Pitheciidae","Primates","Mammalia"
"Pithecia_pithecia","Pithecia",,"Pitheciinae","Pitheciidae","Primates","Mammalia"
"Pithecia_monachus","Pithecia",,"Pitheciinae","Pitheciidae","Primates","Mammalia"
"Pithecia_irrorata","Pithecia",,"Pitheciinae","Pitheciidae","Primates","Mammalia"
"Chiropotes_utahickae","Chiropotes",,"Pitheciinae","Pitheciidae","Primates","Mammalia"
"Chiropotes_chiropotes","Chiropotes",,"Pitheciinae","Pitheciidae","Primates","Mammalia"
"Chiropotes_albinasus","Chiropotes",,"Pitheciinae","Pitheciidae","Primates","Mammalia"
"Cacajao_calvus","Cacajao",,"Pitheciinae","Pitheciidae","Primates","Mammalia"
"Cacajao_melanocephalus","Cacajao",,"Pitheciinae","Pitheciidae","Primates","Mammalia"
"Cacajao_hosomi","Cacajao",,"Pitheciinae","Pitheciidae","Primates","Mammalia"
"Cacajao_ayresi","Cacajao",,"Pitheciinae","Pitheciidae","Primates","Mammalia"
"Nomascus_nasutus","Nomascus",,,"Hylobatidae","Primates","Mammalia"
"Nomascus_hainanus","Nomascus",,,"Hylobatidae","Primates","Mammalia"
"Nomascus_siki","Nomascus",,,"Hylobatidae","Primates","Mammalia"
"Nomascus_leucogenys","Nomascus",,,"Hylobatidae","Primates","Mammalia"
"Nomascus_gabriellae","Nomascus",,,"Hylobatidae","Primates","Mammalia"
"Nomascus_concolor","Nomascus",,,"Hylobatidae","Primates","Mammalia"
"Hylobates_pileatus","Hylobates",,,"Hylobatidae","Primates","Mammalia"
"Hylobates_lar","Hylobates",,,"Hylobatidae","Primates","Mammalia"
"Hylobates_muelleri","Hylobates",,,"Hylobatidae","Primates","Mammalia"
"Hylobates_klossii","Hylobates",,,"Hylobatidae","Primates","Mammalia"
"Hylobates_moloch","Hylobates",,,"Hylobatidae","Primates","Mammalia"
"Hylobates_albibarbis","Hylobates",,,"Hylobatidae","Primates","Mammalia"
"Hylobates_agilis","Hylobates",,,"Hylobatidae","Primates","Mammalia"
"Symphalangus_syndactylus","Symphalangus",,,"Hylobatidae","Primates","Mammalia"
"Hoolock_leuconedys","Hoolock",,,"Hylobatidae","Primates","Mammalia"
"Hoolock_hoolock","Hoolock",,,"Hylobatidae","Primates","Mammalia"
"Pongo_pygmaeus","Pongo",,"Ponginae","Hominidae","Primates","Mammalia"
"Pongo_abelii","Pongo",,"Ponginae","Hominidae","Primates","Mammalia"
"Pan_troglodytes","Pan",,"Homininae","Hominidae","Primates","Mammalia"
"Pan_paniscus","Pan",,"Homininae","Hominidae","Primates","Mammalia"
"Homo_heidelbergensis","Homo",,"Homininae","Hominidae","Primates","Mammalia"
"Homo_denisova","Homo",,"Homininae","Hominidae","Primates","Mammalia"
"Homo_neanderthalensis","Homo",,"Homininae","Hominidae","Primates","Mammalia"
"Homo_sapiens","Homo",,"Homininae","Hominidae","Primates","Mammalia"
"Gorilla_gorilla","Gorilla",,"Homininae","Hominidae","Primates","Mammalia"
"Gorilla_beringei","Gorilla",,"Homininae","Hominidae","Primates","Mammalia"
"Trachypithecus_shortridgei","Trachypithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Trachypithecus_pileatus","Trachypithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Trachypithecus_francoisi","Trachypithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Trachypithecus_laotum","Trachypithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Trachypithecus_hatinhensis","Trachypithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Trachypithecus_poliocephalus","Trachypithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Trachypithecus_delacouri","Trachypithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Trachypithecus_phayrei","Trachypithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Trachypithecus_obscurus","Trachypithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Trachypithecus_barbei","Trachypithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Trachypithecus_cristatus","Trachypithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Trachypithecus_germaini","Trachypithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Trachypithecus_auratus","Trachypithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Trachypithecus_geei","Trachypithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
