"taxon","taxon1","taxon2","genus","tribe","subfamily","family","order","class","agg.ssp","rand.type","poly.ins"
"Micrurus_dissoleucus",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_albicinctus",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_psyches",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_mosquitensis",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_obscurus",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_tener",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_narduccii",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_mipartitus",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_surinamensis",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_spixii",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_pyrrhocryptus",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_lemniscatus",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_ibiboboca",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_hemprichii",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_frontalis",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_decoratus",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_brasiliensis",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_baliocoryphus",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_altirostris",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_corallinus",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_diastema",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_fulvius",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_nigrocinctus",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Hemachatus_haemachatus",,,"Hemachatus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Dendroaspis_polylepis",,,"Dendroaspis",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Dendroaspis_jamesoni",,,"Dendroaspis",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Dendroaspis_viridis",,,"Dendroaspis",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Dendroaspis_angusticeps",,,"Dendroaspis",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Austrelaps_labialis",,,"Austrelaps",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Austrelaps_superbus",,,"Austrelaps",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Pseudonaja_mengdeni",,,"Pseudonaja",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
