"taxon","taxon1","taxon2","genus","tribe","subfamily","family","order","class","agg.ssp","rand.type","poly.ins"
"Plecturocebus_moloch",,,"Plecturocebus",,"Callicebinae","Pitheciidae","Primates","Mammalia",,,
"Callicebus_discolor",,,"Callicebus",,"Callicebinae","Pitheciidae","Primates","Mammalia",,,
"Callicebus_ornatus",,,"Callicebus",,"Callicebinae","Pitheciidae","Primates","Mammalia",,,
"Callicebus_caquetensis",,,"Callicebus",,"Callicebinae","Pitheciidae","Primates","Mammalia",,,
"Callicebus_dubius",,,"Callicebus",,"Callicebinae","Pitheciidae","Primates","Mammalia",,,
"Callicebus_nigrifrons",,,"Callicebus",,"Callicebinae","Pitheciidae","Primates","Mammalia",,,
"Callicebus_coimbrai",,,"Callicebus",,"Callicebinae","Pitheciidae","Primates","Mammalia",,,
"Callicebus_personatus",,,"Callicebus",,"Callicebinae","Pitheciidae","Primates","Mammalia",,,
"Pithecia_monachus",,,"Pithecia",,"Pitheciinae","Pitheciidae","Primates","Mammalia",,,
"Pithecia_pithecia",,,"Pithecia",,"Pitheciinae","Pitheciidae","Primates","Mammalia",,,
"Pithecia_irrorata",,,"Pithecia",,"Pitheciinae","Pitheciidae","Primates","Mammalia",,,
"Cacajao_hosomi",,,"Cacajao",,"Pitheciinae","Pitheciidae","Primates","Mammalia",,,
"Cacajao_ayresi",,,"Cacajao",,"Pitheciinae","Pitheciidae","Primates","Mammalia",,,
"Cacajao_rubicundus",,,"Cacajao",,"Pitheciinae","Pitheciidae","Primates","Mammalia",,,
"Cacajao_melanocephalus",,,"Cacajao",,"Pitheciinae","Pitheciidae","Primates","Mammalia",,,
"Cacajao_calvus",,,"Cacajao",,"Pitheciinae","Pitheciidae","Primates","Mammalia",,,
"Chiropotes_chiropotes",,,"Chiropotes",,"Pitheciinae","Pitheciidae","Primates","Mammalia",,,
"Chiropotes_israelita",,,"Chiropotes",,"Pitheciinae","Pitheciidae","Primates","Mammalia",,,
"Chiropotes_utahickae",,,"Chiropotes",,"Pitheciinae","Pitheciidae","Primates","Mammalia",,,
"Chiropotes_albinasus",,,"Chiropotes",,"Pitheciinae","Pitheciidae","Primates","Mammalia",,,
"Chiropotes_satanas",,,"Chiropotes",,"Pitheciinae","Pitheciidae","Primates","Mammalia",,,
"Saimiri_vanzolinii",,,"Saimiri",,"Saimiriinae","Cebidae","Primates","Mammalia",,,
"Saimiri_oerstedii",,,"Saimiri",,"Saimiriinae","Cebidae","Primates","Mammalia",,,
"Saimiri_ustus",,,"Saimiri",,"Saimiriinae","Cebidae","Primates","Mammalia",,,
"Saimiri_boliviensis",,,"Saimiri",,"Saimiriinae","Cebidae","Primates","Mammalia",,,
"Saimiri_sciureus",,,"Saimiri",,"Saimiriinae","Cebidae","Primates","Mammalia",,,
"Sapajus_libidinosus",,,"Sapajus",,"Cebinae","Cebidae","Primates","Mammalia",,,
"Sapajus_flavius",,,"Sapajus",,"Cebinae","Cebidae","Primates","Mammalia",,,
"Sapajus_nigritus",,,"Sapajus",,"Cebinae","Cebidae","Primates","Mammalia",,,
"Sapajus_cay",,,"Sapajus",,"Cebinae","Cebidae","Primates","Mammalia",,,
"Sapajus_xanthosternos",,,"Sapajus",,"Cebinae","Cebidae","Primates","Mammalia",,,
"Sapajus_apella",,,"Sapajus",,"Cebinae","Cebidae","Primates","Mammalia",,,
"Cebus_imitator",,,"Cebus",,"Cebinae","Cebidae","Primates","Mammalia",,,
"Cebus_versicolor",,,"Cebus",,"Cebinae","Cebidae","Primates","Mammalia",,,
"Cebus_unicolor",,,"Cebus",,"Cebinae","Cebidae","Primates","Mammalia",,,
"Cebus_olivaceus",,,"Cebus",,"Cebinae","Cebidae","Primates","Mammalia",,,
"Cebus_kaapori",,,"Cebus",,"Cebinae","Cebidae","Primates","Mammalia",,,
"Cebus_capucinus",,,"Cebus",,"Cebinae","Cebidae","Primates","Mammalia",,,
"Cebus_albifrons",,,"Cebus",,"Cebinae","Cebidae","Primates","Mammalia",,,
